co2<->hum,co2<->light,co2<->temp,hum<->light,hum<->temp,light<->temp
0.06,0.03,0.16,0.0,0.17,0.1
0.05,0.04,0.16,0.26,0.24,0.34
0.01,0.0,0.02,0.47,0.05,0.14
0.22,0.0,0.06,0.17,0.1,0.13
0.11,0.02,0.1,0.01,0.05,0.1
0.01,0.0,0.06,0.03,0.02,0.06
0.01,0.0,0.14,0.0,0.12,0.0
0.0,0.06,0.12,0.02,0.29,0.01
0.11,0.4,0.09,0.11,0.04,0.05
0.15,0.04,0.13,0.04,0.08,0.0
0.21,0.32,0.08,0.07,0.04,0.02
0.15,0.3,0.19,0.03,0.14,0.08
0.14,0.27,0.21,0.07,0.15,0.02
0.03,0.24,0.27,0.01,0.11,0.03
0.13,0.44,0.19,0.1,0.22,0.02
0.02,0.03,0.16,0.0,0.11,0.03
0.08,0.02,0.05,0.0,0.17,0.14
0.07,0.08,0.19,0.05,0.24,0.14
0.03,0.02,0.07,0.02,0.07,0.1
0.06,0.06,0.17,0.01,0.03,0.08
0.22,0.27,0.29,0.02,0.18,0.07
0.02,0.31,0.26,0.02,0.13,0.13
0.04,0.37,0.23,0.02,0.11,0.06
0.06,0.32,0.08,0.04,0.01,0.01
0.03,0.04,0.12,0.06,0.07,0.13
0.05,0.02,0.16,0.06,0.0,0.12
0.16,0.02,0.12,0.23,0.17,0.3
0.08,0.01,0.15,0.01,0.01,0.13
0.03,0.02,0.13,0.03,0.12,0.13
0.02,0.0,0.12,0.19,0.08,0.15
0.25,0.1,0.2,0.18,0.04,0.08
0.22,0.19,0.13,0.02,0.09,0.09
0.05,0.1,0.08,0.02,0.04,0.0
0.1,0.21,0.26,0.02,0.26,0.06
0.13,0.1,0.1,0.07,0.02,0.06
0.02,0.28,0.06,0.11,0.13,0.01
0.02,0.02,0.05,0.09,0.08,0.08
0.04,0.05,0.02,0.09,0.1,0.05
0.05,0.01,0.02,0.07,0.04,0.12
0.14,0.06,0.08,0.08,0.02,0.08
0.1,0.04,0.15,0.01,0.16,0.18
0.06,0.0,0.13,0.04,0.1,0.01
0.03,0.16,0.23,0.0,0.43,0.02
0.2,0.04,0.16,0.07,0.18,0.2
0.03,0.0,0.1,0.01,0.12,0.0
0.02,0.01,0.22,0.01,0.3,0.0
0.1,0.01,0.04,0.01,0.05,0.03
0.08,0.31,0.1,0.09,0.01,0.05
0.19,0.27,0.19,0.06,0.14,0.04
0.01,0.04,0.19,0.01,0.13,0.04
0.07,0.17,0.17,0.02,0.2,0.05
